PID,Name,Priority,Burst Time,Arrival Time,Left Time
1,(syste,20,1927,0,1927
2,(kthre,20,5,0,5
3,(rcu_g,0,0,0,0
4,(rcu_p,0,0,0,0
5,(slub_,0,0,0,0
6,(netns,0,0,0,0
10,(mm_pe,0,0,0,0
11,(rcu_t,20,0,0,0
12,(rcu_t,20,0,0,0
13,(rcu_t,20,0,0,0
14,(ksoft,20,1847,0,1847
15,(rcu_p,20,2609,0,2609
16,(migra,-100,438,0,438
17,(idle_,-51,0,0,0
19,(cpuhp,20,0,0,0
20,(kdevt,20,1,0,1
21,(inet_,0,0,0,0
22,(kaudi,20,1,0,1
23,(khung,20,42,0,42
24,(oom_r,20,0,0,0
27,(write,0,0,0,0
28,(kcomp,20,1517,0,1517
29,(ksmd),25,0,0,0
30,(khuge,39,0,0,0
31,(kinte,0,0,0,0
32,(kbloc,0,0,0,0
33,(blkcg,0,0,0,0
34,(tpm_d,0,0,0,0
35,(ata_s,0,0,0,0
36,(md),0,0,0,0
37,(edac-,0,0,0,0
38,(devfr,0,0,0,0
39,(watch,-51,0,0,0
40,(kwork,0,182,0,182
41,(kswap,20,433,0,433
42,(ecryp,20,0,0,0
43,(kthro,0,0,0,0
44,(acpi_,0,0,0,0
45,(scsi_,20,33,0,33
46,(scsi_,0,0,0,0
47,(scsi_,20,11,0,11
48,(scsi_,0,0,0,0
53,(mld),0,0,0,0
54,(ipv6_,0,0,0,0
61,(kstrp,0,0,0,0
63,(zswap,0,0,0,0
64,(kwork,0,0,0,0
68,(charg,0,0,0,0
107,(scsi_,20,6,0,6
108,(scsi_,0,0,0,0
118,(kwork,0,3535,0,3535
139,(jbd2/,20,285,0,285
140,(ext4-,0,0,0,0
179,(syste,19,758,0,758
210,(irq/1,-51,0,0,0
225,(syste,20,486,0,486
281,(crypt,0,0,0,0
504,(syste,20,16424,0,16424
505,(syste,20,482,0,482
506,(syste,20,147,0,147
551,(accou,20,76,0,76
552,(acpid,20,81,0,81
555,(avahi,20,692,0,692
556,(cron),20,52,0,52
557,(dbus-,20,1028,0,1028
558,(Netwo,20,5554,0,5554
565,(netwo,20,255,0,255
566,(polki,20,1321,0,1321
567,(power,20,28,0,28
568,(rsysl,20,25,0,25
570,(snapd,20,813,0,813
571,(switc,20,31,0,31
572,(syste,20,326,0,326
573,(udisk,20,244,0,244
574,(wpa_s,20,242,0,242
613,(avahi,20,0,0,0
658,(cupsd,20,109,0,109
661,(unatt,20,210,0,210
667,(Modem,20,135,0,135
714,(gdm3),20,56,0,56
765,(cups-,20,53,0,53
774,(kerne,20,25,0,25
776,(kerne,20,25,0,25
866,(rtkit,21,17,0,17
1002,(upowe,20,61,0,61
1022,(packa,20,379,0,379
1180,(color,20,168,0,168
1249,(gdm-s,20,176,0,176
1262,(syste,20,696,0,696
1263,((sd-p,20,0,0,0
1269,(pipew,9,39,0,39
1270,(pipew,20,47,0,47
1271,(pulse,9,296,0,296
1279,(dbus-,20,529,0,529
1284,(gvfsd,20,36,0,36
1289,(gvfsd,20,9,0,9
1307,(xdg-d,20,20,0,20
1309,(gnome,20,46,0,46
1314,(xdg-p,20,7,0,7
1320,(fuser,20,4,0,4
1330,(gdm-w,20,7,0,7
1333,(gnome,20,97,0,97
1374,(gnome,20,14,0,14
1394,(gnome,20,118,0,118
1415,(gnome,20,49727,0,49727
1416,(at-sp,20,21,0,21
1428,(dbus-,20,27,0,27
1465,(gnome,20,187,0,187
1467,(gvfs-,20,115,0,115
1472,(gvfs-,20,31,0,31
1485,(evolu,20,206,0,206
1486,(gvfs-,20,13,0,13
1490,(gvfs-,20,17,0,17
1494,(goa-d,20,155,0,155
1504,(goa-i,20,46,0,46
1506,(gvfs-,20,18,0,18
1520,(evolu,20,208,0,208
1525,(gvfsd,20,59,0,59
1539,(at-sp,20,19,0,19
1540,(gjs),20,93,0,93
1549,(sh),20,4,0,4
1550,(gsd-a,20,9,0,9
1556,(gsd-c,20,231,0,231
1557,(ibus-,20,421,0,421
1561,(gsd-d,20,47,0,47
1563,(gsd-h,20,368,0,368
1564,(gsd-k,20,136,0,136
1565,(gsd-m,20,219,0,219
1566,(gsd-p,20,161,0,161
1575,(gsd-p,20,30,0,30
1576,(gsd-r,20,14,0,14
1577,(gsd-s,20,7,0,7
1578,(gsd-s,20,36,0,36
1583,(gsd-s,20,16,0,16
1586,(gsd-s,20,21,0,21
1587,(gsd-w,20,144,0,144
1595,(evolu,20,378,0,378
1597,(dconf,20,22,0,22
1617,(evolu,20,66,0,66
1637,(ibus-,20,16,0,16
1639,(ibus-,20,1178,0,1178
1642,(gsd-d,20,12,0,12
1660,(ibus-,20,13,0,13
1669,(gsd-p,20,30,0,30
1692,(snapd,20,72,0,72
1795,(snapd,20,282,0,282
1799,(xdg-d,20,75,0,75
1804,(ibus-,20,112,0,112
1809,(snap-,20,4319,0,4319
1812,(xdg-d,20,186,0,186
1851,(track,39,922,0,922
1903,(gjs),20,95,0,95
1939,(gjs),20,907,0,907
1947,(xdg-d,20,156,0,156
1991,(gvfsd,20,17,0,17
2117,(gnome,20,382,0,382
2119,(seaho,20,299,0,299
2126,(gnome,20,5164,0,5164
2220,(bash),20,222,0,222
2658,(updat,20,164,0,164
4148,(kwork,20,14316,0,14316
4448,(kwork,20,0,0,0
4449,(kwork,20,1132,0,1132
4471,(kwork,20,379,0,379
4474,(kwork,20,111,0,111
4481,(kwork,20,0,0,0
4482,(kwork,20,0,0,0
4505,(main),20,9,0,9
