PID,Name,Priority,Burst Time,Arrival Time,Waiting Time,Response Time
1,(syste,20,1927,0,40943,42870
2,(kthre,20,5,0,12,17
3,(rcu_g,0,0,0,1932,1932
4,(rcu_p,0,0,0,1932,1932
5,(slub_,0,0,0,1932,1932
6,(netns,0,0,0,1932,1932
10,(mm_pe,0,0,0,1932,1932
11,(rcu_t,20,0,0,1932,1932
12,(rcu_t,20,0,0,1932,1932
13,(rcu_t,20,0,0,1932,1932
14,(ksoft,20,1847,0,40272,42119
15,(rcu_p,20,2609,0,45738,48347
16,(migra,-100,438,0,21240,21678
17,(idle_,-51,0,0,6826,6826
19,(cpuhp,20,0,0,6826,6826
20,(kdevt,20,1,0,53,54
21,(inet_,0,0,0,6827,6827
22,(kaudi,20,1,0,54,55
23,(khung,20,42,0,3707,3749
24,(oom_r,20,0,0,6870,6870
27,(write,0,0,0,6870,6870
28,(kcomp,20,1517,0,37375,38892
29,(ksmd),25,0,0,8387,8387
30,(khuge,39,0,0,8387,8387
31,(kinte,0,0,0,8387,8387
32,(kbloc,0,0,0,8387,8387
33,(blkcg,0,0,0,8387,8387
34,(tpm_d,0,0,0,8387,8387
35,(ata_s,0,0,0,8387,8387
36,(md),0,0,0,8387,8387
37,(edac-,0,0,0,8387,8387
38,(devfr,0,0,0,8387,8387
39,(watch,-51,0,0,8387,8387
40,(kwork,0,182,0,12717,12899
41,(kswap,20,433,0,21258,21691
42,(ecryp,20,0,0,9002,9002
43,(kthro,0,0,0,9002,9002
44,(acpi_,0,0,0,9002,9002
45,(scsi_,20,33,0,2702,2735
46,(scsi_,0,0,0,9035,9035
47,(scsi_,20,11,0,115,126
48,(scsi_,0,0,0,9046,9046
53,(mld),0,0,0,9046,9046
54,(ipv6_,0,0,0,9046,9046
61,(kstrp,0,0,0,9046,9046
63,(zswap,0,0,0,9046,9046
64,(kwork,0,0,0,9046,9046
68,(charg,0,0,0,9046,9046
107,(scsi_,20,6,0,126,132
108,(scsi_,0,0,0,9052,9052
118,(kwork,0,3535,0,51287,54822
139,(jbd2/,20,285,0,16629,16914
140,(ext4-,0,0,0,12872,12872
179,(syste,19,758,0,27828,28586
210,(irq/1,-51,0,0,13630,13630
225,(syste,20,486,0,22387,22873
281,(crypt,0,0,0,14116,14116
504,(syste,20,16424,0,79423,95847
505,(syste,20,482,0,22405,22887
506,(syste,20,147,0,10966,11113
551,(accou,20,76,0,6529,6605
552,(acpid,20,81,0,6533,6614
555,(avahi,20,692,0,26536,27228
556,(cron),20,52,0,4826,4878
557,(dbus-,20,1028,0,31912,32940
558,(Netwo,20,5554,0,59781,65335
565,(netwo,20,255,0,15858,16113
566,(polki,20,1321,0,35502,36823
567,(power,20,28,0,2891,2919
568,(rsysl,20,25,0,2895,2920
570,(snapd,20,813,0,28694,29507
571,(switc,20,31,0,2908,2939
572,(syste,20,326,0,18331,18657
573,(udisk,20,244,0,15456,15700
574,(wpa_s,20,242,0,15460,15702
613,(avahi,20,0,0,41937,41937
658,(cupsd,20,109,0,8990,9099
661,(unatt,20,210,0,14004,14214
667,(Modem,20,135,0,10419,10554
714,(gdm3),20,56,0,4962,5018
765,(cups-,20,53,0,4970,5023
774,(kerne,20,25,0,3011,3036
776,(kerne,20,25,0,3012,3037
