PID,Name,Priority,Burst Time,Arrival Time,Waiting Time,Response Time
1,(syste,20,1927,0,25583,27510
2,(kthre,20,5,0,10,15
3,(rcu_g,0,0,0,1932,1932
4,(rcu_p,0,0,0,1932,1932
5,(slub_,0,0,0,1932,1932
6,(netns,0,0,0,1932,1932
10,(mm_pe,0,0,0,1932,1932
11,(rcu_t,20,0,0,1932,1932
12,(rcu_t,20,0,0,1932,1932
13,(rcu_t,20,0,0,1932,1932
14,(ksoft,20,1847,0,23736,25583
15,(rcu_p,20,2609,0,27510,30119
16,(migra,-100,438,0,10837,11275
17,(idle_,-51,0,0,6826,6826
19,(cpuhp,20,0,0,6826,6826
20,(kdevt,20,1,0,0,1
21,(inet_,0,0,0,6827,6827
22,(kaudi,20,1,0,1,2
23,(khung,20,42,0,746,788
24,(oom_r,20,0,0,6870,6870
27,(write,0,0,0,6870,6870
28,(kcomp,20,1517,0,22219,23736
29,(ksmd),25,0,0,8387,8387
30,(khuge,39,0,0,8387,8387
31,(kinte,0,0,0,8387,8387
32,(kbloc,0,0,0,8387,8387
33,(blkcg,0,0,0,8387,8387
34,(tpm_d,0,0,0,8387,8387
35,(ata_s,0,0,0,8387,8387
36,(md),0,0,0,8387,8387
37,(edac-,0,0,0,8387,8387
38,(devfr,0,0,0,8387,8387
39,(watch,-51,0,0,8387,8387
40,(kwork,0,182,0,4017,4199
41,(kswap,20,433,0,10404,10837
42,(ecryp,20,0,0,9002,9002
43,(kthro,0,0,0,9002,9002
44,(acpi_,0,0,0,9002,9002
45,(scsi_,20,33,0,602,635
46,(scsi_,0,0,0,9035,9035
47,(scsi_,20,11,0,69,80
48,(scsi_,0,0,0,9046,9046
53,(mld),0,0,0,9046,9046
54,(ipv6_,0,0,0,9046,9046
61,(kstrp,0,0,0,9046,9046
63,(zswap,0,0,0,9046,9046
64,(kwork,0,0,0,9046,9046
68,(charg,0,0,0,9046,9046
107,(scsi_,20,6,0,15,21
108,(scsi_,0,0,0,9052,9052
118,(kwork,0,3535,0,30119,33654
139,(jbd2/,20,285,0,6891,7176
140,(ext4-,0,0,0,12872,12872
179,(syste,19,758,0,14160,14918
210,(irq/1,-51,0,0,13630,13630
225,(syste,20,486,0,11757,12243
281,(crypt,0,0,0,14116,14116
504,(syste,20,16424,0,63007,79431
505,(syste,20,482,0,11275,11757
506,(syste,20,147,0,2890,3037
551,(accou,20,76,0,1468,1544
552,(acpid,20,81,0,1544,1625
555,(avahi,20,692,0,12772,13464
556,(cron),20,52,0,974,1026
557,(dbus-,20,1028,0,17560,18588
558,(Netwo,20,5554,0,43137,48691
565,(netwo,20,255,0,6354,6609
566,(polki,20,1321,0,20898,22219
567,(power,20,28,0,452,480
568,(rsysl,20,25,0,350,375
570,(snapd,20,813,0,14918,15731
571,(switc,20,31,0,540,571
572,(syste,20,326,0,7771,8097
573,(udisk,20,244,0,6110,6354
574,(wpa_s,20,242,0,5868,6110
613,(avahi,20,0,0,41937,41937
658,(cupsd,20,109,0,1910,2019
661,(unatt,20,210,0,4986,5196
667,(Modem,20,135,0,2475,2610
714,(gdm3),20,56,0,1079,1135
765,(cups-,20,53,0,1026,1079
774,(kerne,20,25,0,375,400
776,(kerne,20,25,0,400,425
866,(rtkit,21,17,0,178,195
1002,(upowe,20,61,0,1194,1255
1022,(packa,20,379,0,8843,9222
1180,(color,20,168,0,3673,3841
1249,(gdm-s,20,176,0,3841,4017
1262,(syste,20,696,0,13464,14160
1263,((sd-p,20,0,0,44047,44047
1269,(pipew,9,39,0,707,746
1270,(pipew,20,47,0,880,927
1271,(pulse,9,296,0,7176,7472
1279,(dbus-,20,529,0,12243,12772
1284,(gvfsd,20,36,0,635,671
1289,(gvfsd,20,9,0,42,51
1307,(xdg-d,20,20,0,266,286
1309,(gnome,20,46,0,788,834
1314,(xdg-p,20,7,0,21,28
1320,(fuser,20,4,0,2,6
1330,(gdm-w,20,7,0,28,35
1333,(gnome,20,97,0,1813,1910
1374,(gnome,20,14,0,118,132
1394,(gnome,20,118,0,2357,2475
1415,(gnome,20,49727,0,79431,129158
1416,(at-sp,20,21,0,286,307
1428,(dbus-,20,27,0,425,452
1465,(gnome,20,187,0,4385,4572
1467,(gvfs-,20,115,0,2242,2357
1472,(gvfs-,20,31,0,571,602
1485,(evolu,20,206,0,4572,4778
1486,(gvfs-,20,13,0,92,105
1490,(gvfs-,20,17,0,195,212
1494,(goa-d,20,155,0,3037,3192
1504,(goa-i,20,46,0,834,880
1506,(gvfs-,20,18,0,229,247
1520,(evolu,20,208,0,4778,4986
1525,(gvfsd,20,59,0,1135,1194
1539,(at-sp,20,19,0,247,266
1540,(gjs),20,93,0,1625,1718
1549,(sh),20,4,0,6,10
1550,(gsd-a,20,9,0,51,60
1556,(gsd-c,20,231,0,5637,5868
1557,(ibus-,20,421,0,9983,10404
1561,(gsd-d,20,47,0,927,974
1563,(gsd-h,20,368,0,8097,8465
1564,(gsd-k,20,136,0,2610,2746
1565,(gsd-m,20,219,0,5196,5415
1566,(gsd-p,20,161,0,3348,3509
1575,(gsd-p,20,30,0,480,510
1576,(gsd-r,20,14,0,132,146
1577,(gsd-s,20,7,0,35,42
1578,(gsd-s,20,36,0,671,707
1583,(gsd-s,20,16,0,146,162
1586,(gsd-s,20,21,0,307,328
1587,(gsd-w,20,144,0,2746,2890
1595,(evolu,20,378,0,8465,8843
1597,(dconf,20,22,0,328,350
1617,(evolu,20,66,0,1255,1321
1637,(ibus-,20,16,0,162,178
1639,(ibus-,20,1178,0,19720,20898
1642,(gsd-d,20,12,0,80,92
1660,(ibus-,20,13,0,105,118
1669,(gsd-p,20,30,0,510,540
1692,(snapd,20,72,0,1321,1393
1795,(snapd,20,282,0,6609,6891
1799,(xdg-d,20,75,0,1393,1468
1804,(ibus-,20,112,0,2130,2242
1809,(snap-,20,4319,0,33654,37973
1812,(xdg-d,20,186,0,4199,4385
1851,(track,39,922,0,16638,17560
1903,(gjs),20,95,0,1718,1813
1939,(gjs),20,907,0,15731,16638
1947,(xdg-d,20,156,0,3192,3348
1991,(gvfsd,20,17,0,212,229
2117,(gnome,20,382,0,9601,9983
2119,(seaho,20,299,0,7472,7771
2126,(gnome,20,5164,0,37973,43137
2220,(bash),20,222,0,5415,5637
2658,(updat,20,164,0,3509,3673
4148,(kwork,20,14316,0,48691,63007
4448,(kwork,20,0,0,127527,127527
4449,(kwork,20,1132,0,18588,19720
4471,(kwork,20,379,0,9222,9601
4474,(kwork,20,111,0,2019,2130
4481,(kwork,20,0,0,129149,129149
4482,(kwork,20,0,0,129149,129149
4505,(main),20,9,0,60,69

Average Waiting Time: 9787.42
Average Response Time: 10556.21
