PID,Name,Burst Time
1,(syste,2080
2,(kthre,6
3,(pool_,0
4,(kwork,0
5,(kwork,0
6,(kwork,0
7,(kwork,0
10,(kwork,0
13,(kwork,0
14,(rcu_t,0
15,(rcu_t,0
16,(rcu_t,0
17,(ksoft,11048
18,(rcu_p,8222
19,(rcub/,0
20,(migra,16
21,(idle_,0
22,(cpuhp,0
23,(cpuhp,0
24,(idle_,0
25,(migra,250
26,(ksoft,11153
28,(kwork,0
29,(cpuhp,0
30,(idle_,0
31,(migra,254
32,(ksoft,11090
34,(kwork,0
35,(cpuhp,0
36,(idle_,0
37,(migra,251
38,(ksoft,9610
39,(kwork,3197
40,(kwork,0
41,(cpuhp,0
42,(idle_,0
43,(migra,258
44,(ksoft,11036
46,(kwork,0
47,(cpuhp,0
48,(idle_,0
49,(migra,260
50,(ksoft,11225
52,(kwork,0
53,(cpuhp,0
54,(idle_,0
55,(migra,262
56,(ksoft,11526
58,(kwork,0
59,(cpuhp,0
60,(idle_,0
61,(migra,265
62,(ksoft,12087
64,(kwork,0
65,(cpuhp,0
66,(idle_,0
67,(migra,260
68,(ksoft,10752
70,(kwork,0
71,(cpuhp,0
72,(idle_,0
73,(migra,258
74,(ksoft,8224
76,(kwork,0
77,(cpuhp,0
78,(idle_,0
79,(migra,263
80,(ksoft,11938
82,(kwork,0
83,(cpuhp,0
84,(idle_,0
85,(migra,264
86,(ksoft,8585
88,(kwork,0
89,(cpuhp,0
90,(idle_,0
91,(migra,265
92,(ksoft,12479
94,(kwork,0
95,(cpuhp,0
96,(idle_,0
97,(migra,269
98,(ksoft,12342
100,(kwork,0
101,(cpuhp,0
102,(idle_,0
103,(migra,271
104,(ksoft,12006
106,(kwork,0
107,(cpuhp,0
108,(idle_,0
109,(migra,272
110,(ksoft,11975
112,(kwork,0
113,(kdevt,1
114,(kwork,0
115,(kaudi,0
117,(khung,48
119,(oom_r,2
120,(kwork,0
121,(kcomp,9473
122,(ksmd),0
125,(khuge,2023
126,(kwork,0
127,(kwork,0
128,(kwork,0
129,(kwork,0
130,(kwork,0
131,(kwork,0
132,(kwork,0
133,(watch,0
134,(kwork,95
135,(irq/2,0
137,(kswap,24869
139,(kwork,0
140,(irq/2,0
141,(irq/2,0
142,(irq/2,0
143,(irq/3,0
144,(irq/3,0
157,(kwork,0
158,(kwork,0
160,(scsi_,0
161,(kwork,0
162,(scsi_,0
163,(kwork,0
164,(scsi_,0
165,(kwork,0
166,(scsi_,0
167,(kwork,0
168,(scsi_,0
169,(kwork,0
170,(scsi_,0
171,(kwork,0
172,(scsi_,0
173,(kwork,0
174,(scsi_,0
175,(kwork,0
183,(kwork,0
184,(kwork,103
185,(kwork,0
193,(kwork,0
194,(kwork,0
195,(kwork,0
196,(kwork,0
197,(irq/2,0
198,(kwork,109
214,(kwork,94
216,(kwork,102
229,(kwork,107
230,(kwork,82
231,(kwork,122
232,(kwork,105
240,(kwork,100
242,(kwork,95
243,(kwork,99
244,(kwork,100
246,(kwork,110
250,(kwork,102
251,(kwork,108
257,(kwork,0
258,(kwork,0
259,(kwork,0
260,(kwork,0
272,(scsi_,0
273,(kwork,0
274,(usb-s,386
275,(kwork,0
279,(jbd2/,2224
280,(kwork,0
320,(syste,483871
365,(syste,121
398,(psimo,0
507,(kwork,0
544,(nv_qu,0
545,(nv_qu,0
579,(syste,79
602,(UVM,0
603,(UVM,0
604,(UVM,0
615,(nvidi,25585
616,(nvidi,0
643,(dbus-,3870
644,(dhcpc,11
645,(syste,247
647,(dhcpc,5
648,(dhcpc,0
649,(dhcpc,0
652,(Netwo,309
682,(kwork,0
695,(run-c,50
696,(run-c,508
737,(sddm),18
740,(Xorg),5125826
741,(irq/8,91580
742,(nvidi,0
743,(nv_qu,2237
826,(cupsd,224
840,(cups-,289
919,(sddm-,46
922,(syste,577
923,((sd-p,0
935,(kwall,1540
936,(start,49
949,(dbus-,5221
969,(baloo,1186
973,(xdg-d,368
980,(xdg-d,233
981,(udisk,1148
985,(xdg-p,2
996,(fuser,0
1001,(polki,308
1002,(rtkit,10
1023,(ksmse,3717
1025,(kded5,6490
1026,(kwin_,520970
1036,(upowe,63
1048,(kglob,2015
1058,(plasm,18013705
1070,(dconf,3
1076,(kacti,2456
1078,(gmenu,1577
1079,(polki,1733
1080,(org_k,5178
1081,(xdg-d,2550
1082,(xembe,1717
1146,(pipew,423
1149,(pipew,7
1164,(color,65
1174,(obexd,5
1195,(kscre,1635
1267,(kcloc,1746
1268,(kdeco,1917
1288,(agent,5
1290,(kacce,2645
1298,(Disco,1812
1299,(kalen,2174
1319,(pulse,9552450
1322,(kmix),2876867
1376,(accou,70
1384,(akona,3200
1391,(gsett,5
1422,(akona,155
1428,(mysql,60
1467,(akona,1726
1468,(akona,1956
1469,(akona,1708
1470,(akona,1697
1480,(akona,1806
1486,(akona,1752
1492,(akona,1741
1493,(akona,1811
1494,(akona,1857
1500,(akona,1932
1501,(akona,1999
1502,(akona,1712
1503,(akona,1788
1504,(akona,1905
1505,(akona,2128
1506,(akona,2001
17963,(dhcpc,0
152094,(code),8502
212989,(brave,694970
220363,(kwork,2077
221700,(kwork,1260
221958,(kwork,1814
422908,(kwork,0
429919,(brave,503
431207,(cat),2
431208,(cat),5
431209,(brave,209019
431514,(chrom,3
431522,(chrom,1
431545,(brave,34
431555,(brave,29
431601,(brave,137
432092,(brave,8143
432142,(brave,2407
432261,(brave,1657
432292,(at-sp,28
432467,(brave,846032
432492,(snap),6
432672,(brave,2634
437693,(brave,15128
444325,(code),167580
444328,(code),22
444329,(code),21
444331,(code),56
444407,(chrom,1
444502,(code),741625
444518,(code),1598
444725,(code),3
445377,(code),11789
445452,(code),73514
449253,(brave,268846
449268,(brave,27889
604223,(snapd,8
609661,(psimo,0
679269,(brave,212436
712709,(kwork,0
754018,(kwork,0
754020,(kwork,0
754021,(kwork,8
754131,(kwork,0
759279,(kwork,23
857522,(pytho,465
857966,(main),10
945921,(baloo,1822
979646,(kwork,517
979712,(kwork,538
1479708,(kwork,949
1479709,(kwork,896
1505030,(kwork,722
1516480,(kwork,948
1516481,(kwork,593
1713635,(kdein,9
1713638,(klaun,1569
1714966,(QtWeb,54
1714970,(QtWeb,54
1715024,(QtWeb,6
1729767,(konqu,3035
1730574,(QtWeb,54
1730578,(QtWeb,54
1730628,(QtWeb,2
1730739,(QtWeb,32
1982434,(kwork,693
2208225,(ssh-a,0
2208547,(kwork,0
2208549,(kwork,365
2208587,(kwork,0
2208670,(kwork,0
2208677,(kwork,430
2208774,(kwork,0
2208837,(kwork,0
2563995,(flatp,180
2564008,(p11-k,0
2564015,(dbus-,81
2564029,(bwrap,1
2564032,(xdg-d,20
2564050,(bwrap,32
2564134,(spoti,5244
2564324,(spoti,42
2564327,(spoti,51
2564582,(spoti,42
2564592,(spoti,43
2564642,(spoti,186091
2564691,(spoti,28
2564751,(p11-k,186
2624870,(kio_h,9380
2754402,(ssh-a,0
2772501,(kwork,762
2869855,(code),356
2869995,(code),397
2874336,(cppto,102
2893153,(konso,4137
2893409,(bash),132
3016766,(bash),86
3045529,(cppto,38
3112454,(bash),433
3289124,(kwork,704
3289133,(kwork,1136
3304648,(kwork,1047
3448810,(brave,28
3450692,(kwork,228
3450700,(kwork,214
3450803,(kwork,0
3450936,(kwork,651
3452208,(kwork,0
3462326,(kwork,1795
3462399,(kwork,1769
3873773,(kwork,384
4033976,(kwork,945
4034222,(kwork,0
4076867,(code),121004
4077394,(kwork,292
4082729,(code),740
4082745,(code),52522
4083401,(code),3043
4083407,(code),5242
4085010,(java),15
4085124,(code),609
4188417,(code),833
