PID,Name,Priority,Burst Time,Arrival Time,Left Time
1,(syste,20,2080,0,2080
2,(kthre,20,6,0,6
3,(pool_,20,0,0,0
4,(kwork,0,0,0,0
5,(kwork,0,0,0,0
6,(kwork,0,0,0,0
7,(kwork,0,0,0,0
10,(kwork,0,0,0,0
13,(kwork,0,0,0,0
14,(rcu_t,20,0,0,0
15,(rcu_t,20,0,0,0
16,(rcu_t,20,0,0,0
17,(ksoft,20,11048,0,11048
18,(rcu_p,-2,8222,0,8222
19,(rcub/,-2,0,0,0
20,(migra,-100,16,0,16
21,(idle_,-51,0,0,0
22,(cpuhp,20,0,0,0
23,(cpuhp,20,0,0,0
24,(idle_,-51,0,0,0
25,(migra,-100,250,0,250
26,(ksoft,20,11153,0,11153
28,(kwork,0,0,0,0
29,(cpuhp,20,0,0,0
30,(idle_,-51,0,0,0
31,(migra,-100,254,0,254
32,(ksoft,20,11090,0,11090
34,(kwork,0,0,0,0
35,(cpuhp,20,0,0,0
36,(idle_,-51,0,0,0
37,(migra,-100,251,0,251
38,(ksoft,20,9610,0,9610
39,(kwork,20,3197,0,3197
40,(kwork,0,0,0,0
41,(cpuhp,20,0,0,0
42,(idle_,-51,0,0,0
43,(migra,-100,258,0,258
44,(ksoft,20,11036,0,11036
46,(kwork,0,0,0,0
47,(cpuhp,20,0,0,0
48,(idle_,-51,0,0,0
49,(migra,-100,260,0,260
50,(ksoft,20,11225,0,11225
52,(kwork,0,0,0,0
53,(cpuhp,20,0,0,0
54,(idle_,-51,0,0,0
55,(migra,-100,262,0,262
56,(ksoft,20,11526,0,11526
58,(kwork,0,0,0,0
59,(cpuhp,20,0,0,0
60,(idle_,-51,0,0,0
61,(migra,-100,265,0,265
62,(ksoft,20,12087,0,12087
64,(kwork,0,0,0,0
65,(cpuhp,20,0,0,0
66,(idle_,-51,0,0,0
67,(migra,-100,260,0,260
68,(ksoft,20,10752,0,10752
70,(kwork,0,0,0,0
71,(cpuhp,20,0,0,0
72,(idle_,-51,0,0,0
73,(migra,-100,258,0,258
74,(ksoft,20,8224,0,8224
76,(kwork,0,0,0,0
77,(cpuhp,20,0,0,0
78,(idle_,-51,0,0,0
79,(migra,-100,263,0,263
80,(ksoft,20,11938,0,11938
82,(kwork,0,0,0,0
83,(cpuhp,20,0,0,0
84,(idle_,-51,0,0,0
85,(migra,-100,264,0,264
86,(ksoft,20,8585,0,8585
88,(kwork,0,0,0,0
89,(cpuhp,20,0,0,0
90,(idle_,-51,0,0,0
91,(migra,-100,265,0,265
92,(ksoft,20,12479,0,12479
94,(kwork,0,0,0,0
95,(cpuhp,20,0,0,0
96,(idle_,-51,0,0,0
97,(migra,-100,269,0,269
98,(ksoft,20,12342,0,12342
100,(kwork,0,0,0,0
101,(cpuhp,20,0,0,0
102,(idle_,-51,0,0,0
103,(migra,-100,271,0,271
104,(ksoft,20,12006,0,12006
106,(kwork,0,0,0,0
107,(cpuhp,20,0,0,0
108,(idle_,-51,0,0,0
109,(migra,-100,272,0,272
110,(ksoft,20,11975,0,11975
112,(kwork,0,0,0,0
113,(kdevt,20,1,0,1
114,(kwork,0,0,0,0
115,(kaudi,20,0,0,0
117,(khung,20,48,0,48
119,(oom_r,20,2,0,2
120,(kwork,0,0,0,0
121,(kcomp,20,9473,0,9473
122,(ksmd),25,0,0,0
125,(khuge,39,2023,0,2023
126,(kwork,0,0,0,0
127,(kwork,0,0,0,0
128,(kwork,0,0,0,0
129,(kwork,0,0,0,0
130,(kwork,0,0,0,0
131,(kwork,0,0,0,0
132,(kwork,0,0,0,0
133,(watch,-51,0,0,0
134,(kwork,0,95,0,95
135,(irq/2,-51,0,0,0
137,(kswap,20,24869,0,24869
139,(kwork,0,0,0,0
140,(irq/2,-51,0,0,0
141,(irq/2,-51,0,0,0
142,(irq/2,-51,0,0,0
143,(irq/3,-51,0,0,0
144,(irq/3,-51,0,0,0
157,(kwork,0,0,0,0
158,(kwork,0,0,0,0
160,(scsi_,20,0,0,0
161,(kwork,0,0,0,0
162,(scsi_,20,0,0,0
163,(kwork,0,0,0,0
164,(scsi_,20,0,0,0
165,(kwork,0,0,0,0
166,(scsi_,20,0,0,0
167,(kwork,0,0,0,0
168,(scsi_,20,0,0,0
169,(kwork,0,0,0,0
170,(scsi_,20,0,0,0
171,(kwork,0,0,0,0
172,(scsi_,20,0,0,0
173,(kwork,0,0,0,0
174,(scsi_,20,0,0,0
175,(kwork,0,0,0,0
183,(kwork,0,0,0,0
184,(kwork,0,103,0,103
185,(kwork,0,0,0,0
193,(kwork,0,0,0,0
194,(kwork,0,0,0,0
195,(kwork,0,0,0,0
196,(kwork,0,0,0,0
197,(irq/2,-51,0,0,0
198,(kwork,0,109,0,109
214,(kwork,0,94,0,94
216,(kwork,0,102,0,102
229,(kwork,0,107,0,107
230,(kwork,0,82,0,82
231,(kwork,0,122,0,122
232,(kwork,0,105,0,105
240,(kwork,0,100,0,100
242,(kwork,0,95,0,95
243,(kwork,0,99,0,99
244,(kwork,0,100,0,100
246,(kwork,0,110,0,110
250,(kwork,0,102,0,102
251,(kwork,0,108,0,108
257,(kwork,0,0,0,0
258,(kwork,0,0,0,0
259,(kwork,0,0,0,0
260,(kwork,0,0,0,0
272,(scsi_,20,0,0,0
