PID,Name,Priority,Arrival Time,Waiting Time,Response Time
1,(syste,20,0,238037,240051
2,(kthre,20,0,12,17
3,(pool_,20,0,2019,2019
4,(kwork,0,0,2019,2019
5,(kwork,0,0,2019,2019
6,(kwork,0,0,2019,2019
7,(kwork,0,0,2019,2019
10,(kwork,0,0,2019,2019
13,(kwork,0,0,2019,2019
14,(rcu_t,20,0,2019,2019
15,(rcu_t,20,0,2019,2019
16,(rcu_t,20,0,2019,2019
17,(ksoft,20,0,604969,614072
18,(rcu_p,-2,0,492327,498923
19,(rcub/,-2,0,17718,17718
20,(migra,-100,0,3014,3027
21,(idle_,-51,0,17731,17731
22,(cpuhp,20,0,17731,17731
23,(cpuhp,20,0,17731,17731
24,(idle_,-51,0,17731,17731
25,(migra,-100,0,45449,45696
26,(ksoft,20,0,603569,612637
28,(kwork,0,0,27046,27046
29,(cpuhp,20,0,27046,27046
30,(idle_,-51,0,27046,27046
31,(migra,-100,0,45468,45718
32,(ksoft,20,0,601612,610632
34,(kwork,0,0,36316,36316
35,(cpuhp,20,0,36316,36316
36,(idle_,-51,0,36316,36316
37,(migra,-100,0,45490,45738
38,(ksoft,20,0,558130,566139
39,(kwork,20,0,277153,279770
40,(kwork,0,0,47190,47190
41,(cpuhp,20,0,47190,47190
42,(idle_,-51,0,47190,47190
43,(migra,-100,0,47473,47728
44,(ksoft,20,0,603096,612149
46,(kwork,0,0,56498,56498
47,(cpuhp,20,0,56498,56498
48,(idle_,-51,0,56498,56498
49,(migra,-100,0,47488,47744
50,(ksoft,20,0,609536,618756
52,(kwork,0,0,65974,65974
53,(cpuhp,20,0,65974,65974
54,(idle_,-51,0,65974,65974
55,(migra,-100,0,47504,47762
56,(ksoft,20,0,618420,627883
58,(kwork,0,0,75695,75695
59,(cpuhp,20,0,75695,75695
60,(idle_,-51,0,75695,75695
61,(migra,-100,0,47522,47783
62,(ksoft,20,0,633308,643189
64,(kwork,0,0,85837,85837
65,(cpuhp,20,0,85837,85837
66,(idle_,-51,0,85837,85837
67,(migra,-100,0,47543,47801
68,(ksoft,20,0,591581,600364
70,(kwork,0,0,94878,94878
71,(cpuhp,20,0,94878,94878
72,(idle_,-51,0,94878,94878
73,(migra,-100,0,47561,47817
74,(ksoft,20,0,498899,505624
76,(kwork,0,0,101859,101859
77,(cpuhp,20,0,101859,101859
78,(idle_,-51,0,101859,101859
79,(migra,-100,0,47577,47838
80,(ksoft,20,0,630484,640285
82,(kwork,0,0,111921,111921
83,(cpuhp,20,0,111921,111921
84,(idle_,-51,0,111921,111921
85,(migra,-100,0,47598,47861
86,(ksoft,20,0,512740,519749
88,(kwork,0,0,119193,119193
89,(cpuhp,20,0,119193,119193
90,(idle_,-51,0,119193,119193
91,(migra,-100,0,47621,47884
92,(ksoft,20,0,645461,655731
94,(kwork,0,0,129726,129726
95,(cpuhp,20,0,129726,129726
96,(idle_,-51,0,129726,129726
97,(migra,-100,0,49462,49729
98,(ksoft,20,0,641005,651125
100,(kwork,0,0,140113,140113
101,(cpuhp,20,0,140113,140113
102,(idle_,-51,0,140113,140113
103,(migra,-100,0,49477,49746
104,(ksoft,20,0,632149,641996
106,(kwork,0,0,150229,150229
107,(cpuhp,20,0,150229,150229
108,(idle_,-51,0,150229,150229
109,(migra,-100,0,49494,49764
110,(ksoft,20,0,628423,638164
112,(kwork,0,0,160240,160240
113,(kdevt,20,0,425,426
114,(kwork,0,0,160241,160241
115,(kaudi,20,0,160241,160241
117,(khung,20,0,8866,8903
119,(oom_r,20,0,438,440
120,(kwork,0,0,160280,160280
121,(kcomp,20,0,574623,583001
122,(ksmd),25,0,168658,168658
125,(khuge,39,0,205086,206653
126,(kwork,0,0,170225,170225
127,(kwork,0,0,170225,170225
128,(kwork,0,0,170225,170225
129,(kwork,0,0,170225,170225
130,(kwork,0,0,170225,170225
131,(kwork,0,0,170225,170225
132,(kwork,0,0,170225,170225
133,(watch,-51,0,170225,170225
134,(kwork,0,0,16494,16576
135,(irq/2,-51,0,170307,170307
137,(kswap,20,0,942207,964438
139,(kwork,0,0,192538,192538
140,(irq/2,-51,0,192538,192538
141,(irq/2,-51,0,192538,192538
142,(irq/2,-51,0,192538,192538
143,(irq/3,-51,0,192538,192538
144,(irq/3,-51,0,192538,192538
157,(kwork,0,0,192538,192538
158,(kwork,0,0,192538,192538
160,(scsi_,20,0,192538,192538
161,(kwork,0,0,192538,192538
162,(scsi_,20,0,192538,192538
163,(kwork,0,0,192538,192538
164,(scsi_,20,0,192538,192538
165,(kwork,0,0,192538,192538
166,(scsi_,20,0,192538,192538
167,(kwork,0,0,192538,192538
168,(scsi_,20,0,192538,192538
169,(kwork,0,0,192538,192538
170,(scsi_,20,0,192538,192538
171,(kwork,0,0,192538,192538
172,(scsi_,20,0,192538,192538
173,(kwork,0,0,192538,192538
174,(scsi_,20,0,192538,192538
175,(kwork,0,0,192538,192538
183,(kwork,0,0,192538,192538
184,(kwork,0,0,16516,16595
185,(kwork,0,0,192617,192617
193,(kwork,0,0,192617,192617
194,(kwork,0,0,192617,192617
195,(kwork,0,0,192617,192617
196,(kwork,0,0,192617,192617
197,(irq/2,-51,0,192617,192617
198,(kwork,0,0,18868,18953
214,(kwork,0,0,16535,16612
216,(kwork,0,0,16540,16624
229,(kwork,0,0,18869,18955
230,(kwork,0,0,14122,14191
231,(kwork,0,0,21080,21182
232,(kwork,0,0,18883,18969
240,(kwork,0,0,16588,16671
242,(kwork,0,0,16599,16672
243,(kwork,0,0,16600,16682
244,(kwork,0,0,18885,18973
246,(kwork,0,0,18889,18982
250,(kwork,0,0,16634,16714
251,(kwork,0,0,18898,18991
257,(kwork,0,0,193798,193798
258,(kwork,0,0,193798,193798
259,(kwork,0,0,193798,193798
260,(kwork,0,0,193798,193798
272,(scsi_,20,0,193798,193798
273,(kwork,0,0,193798,193798
274,(usb-s,20,0,54806,55116
275,(kwork,0,0,194108,194108
279,(jbd2/,20,0,231706,233617
280,(kwork,0,0,196019,196019
320,(syste,20,0,5588457,5986204
362,(kwork,20,0,277334,279958
365,(syste,20,0,23288,23406
398,(psimo,-2,0,596508,596508
507,(kwork,0,0,596508,596508
544,(nv_qu,20,0,596508,596508
545,(nv_qu,20,0,596508,596508
579,(syste,20,0,14299,14369
602,(UVM,20,0,596578,596578
603,(UVM,20,0,596578,596578
604,(UVM,20,0,596578,596578
615,(nvidi,20,0,862733,881511
616,(nvidi,20,0,615356,615356
643,(dbus-,20,0,344411,348200
644,(dhcpc,20,0,764,773
645,(syste,20,0,41930,42149
647,(dhcpc,20,0,785,790
648,(dhcpc,20,0,619378,619378
649,(dhcpc,20,0,619378,619378
652,(Netwo,20,0,47824,48082
682,(kwork,0,0,619636,619636
695,(run-c,20,0,11831,11881
696,(run-c,20,0,82477,82985
737,(sddm),20,0,3771,3789
740,(Xorg),20,0,15844578,19962825
741,(irq/8,-51,0,1667135,1726399
742,(nvidi,20,0,4797723,4797723
743,(nv_qu,20,0,222273,224059
826,(cupsd,20,0,35899,36080
840,(cups-,20,0,53197,53486
919,(sddm-,20,0,9299,9345
922,(syste,20,0,88638,89197
923,((sd-p,20,0,4800584,4800584
935,(kwall,20,0,181010,182334
936,(start,20,0,11929,11978
949,(dbus-,20,0,389692,394294
969,(baloo,39,0,164845,166027
973,(xdg-d,20,0,56683,57005
980,(xdg-d,20,0,38012,38214
981,(udisk,20,0,160677,161821
985,(xdg-p,20,0,1006,1008
996,(fuser,20,0,4809411,4809411
1001,(polki,20,0,54996,55304
1002,(rtkit,21,0,1020,1030
1023,(ksmse,20,0,310941,314135
1025,(kded5,20,0,432781,438201
1026,(kwin_,20,0,5583674,5980821
1036,(upowe,20,0,14561,14624
1048,(kglob,20,0,215099,216789
1058,(plasm,20,0,19437009,33907317
1070,(dconf,20,0,1102,1105
1076,(kacti,20,0,250401,252586
1078,(gmenu,20,0,182406,183745
1079,(polki,20,0,198625,200119
1080,(org_k,20,0,364652,368800
1081,(xdg-d,20,0,256654,258936
1082,(xembe,20,0,195051,196512
