PID,Name,Priority,Arrival Time,Waiting Time,Response Time
1,(syste,20,0,0,2080
2,(kthre,20,0,2080,2086
3,(pool_,20,0,2086,2086
4,(kwork,0,0,2086,2086
5,(kwork,0,0,2086,2086
6,(kwork,0,0,2086,2086
7,(kwork,0,0,2086,2086
10,(kwork,0,0,2086,2086
13,(kwork,0,0,2086,2086
14,(rcu_t,20,0,2086,2086
15,(rcu_t,20,0,2086,2086
16,(rcu_t,20,0,2086,2086
17,(ksoft,20,0,2086,13134
18,(rcu_p,-2,0,13134,21356
19,(rcub/,-2,0,21356,21356
20,(migra,-100,0,21356,21372
21,(idle_,-51,0,21372,21372
22,(cpuhp,20,0,21372,21372
23,(cpuhp,20,0,21372,21372
24,(idle_,-51,0,21372,21372
25,(migra,-100,0,21372,21622
26,(ksoft,20,0,21622,32775
28,(kwork,0,0,32775,32775
29,(cpuhp,20,0,32775,32775
30,(idle_,-51,0,32775,32775
31,(migra,-100,0,32775,33029
32,(ksoft,20,0,33029,44119
34,(kwork,0,0,44119,44119
35,(cpuhp,20,0,44119,44119
36,(idle_,-51,0,44119,44119
37,(migra,-100,0,44119,44370
38,(ksoft,20,0,44370,53980
39,(kwork,20,0,53980,57177
40,(kwork,0,0,57177,57177
41,(cpuhp,20,0,57177,57177
42,(idle_,-51,0,57177,57177
43,(migra,-100,0,57177,57435
44,(ksoft,20,0,57435,68471
46,(kwork,0,0,68471,68471
47,(cpuhp,20,0,68471,68471
48,(idle_,-51,0,68471,68471
49,(migra,-100,0,68471,68731
50,(ksoft,20,0,68731,79956
52,(kwork,0,0,79956,79956
53,(cpuhp,20,0,79956,79956
54,(idle_,-51,0,79956,79956
55,(migra,-100,0,79956,80218
56,(ksoft,20,0,80218,91744
58,(kwork,0,0,91744,91744
59,(cpuhp,20,0,91744,91744
60,(idle_,-51,0,91744,91744
61,(migra,-100,0,91744,92009
62,(ksoft,20,0,92009,104096
64,(kwork,0,0,104096,104096
65,(cpuhp,20,0,104096,104096
66,(idle_,-51,0,104096,104096
67,(migra,-100,0,104096,104356
68,(ksoft,20,0,104356,115108
70,(kwork,0,0,115108,115108
71,(cpuhp,20,0,115108,115108
72,(idle_,-51,0,115108,115108
73,(migra,-100,0,115108,115366
74,(ksoft,20,0,115366,123590
76,(kwork,0,0,123590,123590
77,(cpuhp,20,0,123590,123590
78,(idle_,-51,0,123590,123590
79,(migra,-100,0,123590,123853
80,(ksoft,20,0,123853,135791
82,(kwork,0,0,135791,135791
83,(cpuhp,20,0,135791,135791
84,(idle_,-51,0,135791,135791
85,(migra,-100,0,135791,136055
86,(ksoft,20,0,136055,144640
88,(kwork,0,0,144640,144640
89,(cpuhp,20,0,144640,144640
90,(idle_,-51,0,144640,144640
91,(migra,-100,0,144640,144905
92,(ksoft,20,0,144905,157384
94,(kwork,0,0,157384,157384
95,(cpuhp,20,0,157384,157384
96,(idle_,-51,0,157384,157384
97,(migra,-100,0,157384,157653
98,(ksoft,20,0,157653,169995
100,(kwork,0,0,169995,169995
101,(cpuhp,20,0,169995,169995
102,(idle_,-51,0,169995,169995
103,(migra,-100,0,169995,170266
104,(ksoft,20,0,170266,182272
106,(kwork,0,0,182272,182272
107,(cpuhp,20,0,182272,182272
108,(idle_,-51,0,182272,182272
109,(migra,-100,0,182272,182544
110,(ksoft,20,0,182544,194519
112,(kwork,0,0,194519,194519
113,(kdevt,20,0,194519,194520
114,(kwork,0,0,194520,194520
115,(kaudi,20,0,194520,194520
117,(khung,20,0,194520,194568
119,(oom_r,20,0,194568,194570
120,(kwork,0,0,194570,194570
121,(kcomp,20,0,194570,204043
122,(ksmd),25,0,204043,204043
125,(khuge,39,0,204043,206066
126,(kwork,0,0,206066,206066
127,(kwork,0,0,206066,206066
128,(kwork,0,0,206066,206066
129,(kwork,0,0,206066,206066
130,(kwork,0,0,206066,206066
131,(kwork,0,0,206066,206066
132,(kwork,0,0,206066,206066
133,(watch,-51,0,206066,206066
134,(kwork,0,0,206066,206161
135,(irq/2,-51,0,206161,206161
137,(kswap,20,0,206161,231030
139,(kwork,0,0,231030,231030
140,(irq/2,-51,0,231030,231030
141,(irq/2,-51,0,231030,231030
142,(irq/2,-51,0,231030,231030
143,(irq/3,-51,0,231030,231030
144,(irq/3,-51,0,231030,231030
157,(kwork,0,0,231030,231030
158,(kwork,0,0,231030,231030
160,(scsi_,20,0,231030,231030
161,(kwork,0,0,231030,231030
162,(scsi_,20,0,231030,231030
163,(kwork,0,0,231030,231030
164,(scsi_,20,0,231030,231030
165,(kwork,0,0,231030,231030
