PID,Name,Priority,Arrival Time,Waiting Time,Response Time
1,(syste,20,0,227188,229268
2,(kthre,20,0,12,18
3,(pool_,20,0,2086,2086
4,(kwork,0,0,2086,2086
5,(kwork,0,0,2086,2086
6,(kwork,0,0,2086,2086
7,(kwork,0,0,2086,2086
10,(kwork,0,0,2086,2086
13,(kwork,0,0,2086,2086
14,(rcu_t,20,0,2086,2086
15,(rcu_t,20,0,2086,2086
16,(rcu_t,20,0,2086,2086
17,(ksoft,20,0,623605,634653
18,(rcu_p,-2,0,520753,528975
19,(rcub/,-2,0,21356,21356
20,(migra,-100,0,2719,2735
21,(idle_,-51,0,21372,21372
22,(cpuhp,20,0,21372,21372
23,(cpuhp,20,0,21372,21372
24,(idle_,-51,0,21372,21372
25,(migra,-100,0,41479,41729
26,(ksoft,20,0,627011,638164
28,(kwork,0,0,32775,32775
29,(cpuhp,20,0,32775,32775
30,(idle_,-51,0,32775,32775
31,(migra,-100,0,43295,43549
32,(ksoft,20,0,625161,636251
34,(kwork,0,0,44119,44119
35,(cpuhp,20,0,44119,44119
36,(idle_,-51,0,44119,44119
37,(migra,-100,0,41525,41776
38,(ksoft,20,0,573523,583133
39,(kwork,20,0,291098,294295
40,(kwork,0,0,57177,57177
41,(cpuhp,20,0,57177,57177
42,(idle_,-51,0,57177,57177
43,(migra,-100,0,43333,43591
44,(ksoft,20,0,623237,634273
46,(kwork,0,0,68471,68471
47,(cpuhp,20,0,68471,68471
48,(idle_,-51,0,68471,68471
49,(migra,-100,0,43351,43611
50,(ksoft,20,0,629176,640401
52,(kwork,0,0,79956,79956
53,(cpuhp,20,0,79956,79956
54,(idle_,-51,0,79956,79956
55,(migra,-100,0,43371,43633
56,(ksoft,20,0,637881,649407
58,(kwork,0,0,91744,91744
59,(cpuhp,20,0,91744,91744
60,(idle_,-51,0,91744,91744
61,(migra,-100,0,45110,45375
62,(ksoft,20,0,653051,665138
64,(kwork,0,0,104096,104096
65,(cpuhp,20,0,104096,104096
66,(idle_,-51,0,104096,104096
67,(migra,-100,0,43417,43677
68,(ksoft,20,0,613481,624233
70,(kwork,0,0,115108,115108
71,(cpuhp,20,0,115108,115108
72,(idle_,-51,0,115108,115108
73,(migra,-100,0,43437,43695
74,(ksoft,20,0,520851,529075
76,(kwork,0,0,123590,123590
77,(cpuhp,20,0,123590,123590
78,(idle_,-51,0,123590,123590
79,(migra,-100,0,43455,43718
80,(ksoft,20,0,649184,661122
82,(kwork,0,0,135791,135791
83,(cpuhp,20,0,135791,135791
84,(idle_,-51,0,135791,135791
85,(migra,-100,0,43478,43742
86,(ksoft,20,0,535189,543774
88,(kwork,0,0,144640,144640
89,(cpuhp,20,0,144640,144640
90,(idle_,-51,0,144640,144640
91,(migra,-100,0,45171,45436
92,(ksoft,20,0,661760,674239
94,(kwork,0,0,157384,157384
95,(cpuhp,20,0,157384,157384
96,(idle_,-51,0,157384,157384
97,(migra,-100,0,45184,45453
98,(ksoft,20,0,658862,671204
100,(kwork,0,0,169995,169995
101,(cpuhp,20,0,169995,169995
102,(idle_,-51,0,169995,169995
103,(migra,-100,0,45201,45472
104,(ksoft,20,0,651065,663071
106,(kwork,0,0,182272,182272
107,(cpuhp,20,0,182272,182272
108,(idle_,-51,0,182272,182272
109,(migra,-100,0,45220,45492
110,(ksoft,20,0,650166,662141
112,(kwork,0,0,194519,194519
113,(kdevt,20,0,426,427
114,(kwork,0,0,194520,194520
115,(kaudi,20,0,194520,194520
117,(khung,20,0,8045,8093
119,(oom_r,20,0,439,441
120,(kwork,0,0,194570,194570
121,(kcomp,20,0,568898,578371
122,(ksmd),25,0,204043,204043
125,(khuge,39,0,223461,225484
126,(kwork,0,0,206066,206066
127,(kwork,0,0,206066,206066
128,(kwork,0,0,206066,206066
129,(kwork,0,0,206066,206066
130,(kwork,0,0,206066,206066
131,(kwork,0,0,206066,206066
132,(kwork,0,0,206066,206066
133,(watch,-51,0,206066,206066
134,(kwork,0,0,17038,17133
135,(irq/2,-51,0,206161,206161
137,(kswap,20,0,912351,937220
139,(kwork,0,0,231030,231030
140,(irq/2,-51,0,231030,231030
141,(irq/2,-51,0,231030,231030
142,(irq/2,-51,0,231030,231030
143,(irq/3,-51,0,231030,231030
144,(irq/3,-51,0,231030,231030
157,(kwork,0,0,231030,231030
158,(kwork,0,0,231030,231030
160,(scsi_,20,0,231030,231030
161,(kwork,0,0,231030,231030
162,(scsi_,20,0,231030,231030
163,(kwork,0,0,231030,231030
164,(scsi_,20,0,231030,231030
165,(kwork,0,0,231030,231030
166,(scsi_,20,0,231030,231030
167,(kwork,0,0,231030,231030
168,(scsi_,20,0,231030,231030
169,(kwork,0,0,231030,231030
170,(scsi_,20,0,231030,231030
171,(kwork,0,0,231030,231030
172,(scsi_,20,0,231030,231030
173,(kwork,0,0,231030,231030
174,(scsi_,20,0,231030,231030
175,(kwork,0,0,231030,231030
183,(kwork,0,0,231030,231030
184,(kwork,0,0,19172,19275
185,(kwork,0,0,231133,231133
193,(kwork,0,0,231133,231133
194,(kwork,0,0,231133,231133
195,(kwork,0,0,231133,231133
196,(kwork,0,0,231133,231133
197,(irq/2,-51,0,231133,231133
198,(kwork,0,0,21208,21317
214,(kwork,0,0,17085,17179
216,(kwork,0,0,19191,19293
229,(kwork,0,0,19197,19304
230,(kwork,0,0,14960,15042
231,(kwork,0,0,23155,23277
232,(kwork,0,0,19220,19325
240,(kwork,0,0,19229,19329
242,(kwork,0,0,17155,17250
243,(kwork,0,0,19233,19332
244,(kwork,0,0,19236,19336
246,(kwork,0,0,21221,21331
250,(kwork,0,0,19252,19354
251,(kwork,0,0,19258,19366
257,(kwork,0,0,232568,232568
258,(kwork,0,0,232568,232568
259,(kwork,0,0,232568,232568
260,(kwork,0,0,232568,232568
272,(scsi_,20,0,232568,232568
273,(kwork,0,0,232568,232568
274,(usb-s,20,0,61075,61461
275,(kwork,0,0,232954,232954
279,(jbd2/,20,0,236511,238735
280,(kwork,0,0,235178,235178
320,(syste,20,0,5746918,6230789
365,(syste,20,0,23193,23314
398,(psimo,-2,0,719170,719170
507,(kwork,0,0,719170,719170
544,(nv_qu,20,0,719170,719170
545,(nv_qu,20,0,719170,719170
579,(syste,20,0,15126,15205
602,(UVM,20,0,719249,719249
603,(UVM,20,0,719249,719249
604,(UVM,20,0,719249,719249
615,(nvidi,20,0,926048,951633
616,(nvidi,20,0,744834,744834
643,(dbus-,20,0,325428,329298
644,(dhcpc,20,0,753,764
645,(syste,20,0,41944,42191
647,(dhcpc,20,0,776,781
648,(dhcpc,20,0,748967,748967
649,(dhcpc,20,0,748967,748967
652,(Netwo,20,0,50177,50486
682,(kwork,0,0,749276,749276
695,(run-c,20,0,10740,10790
696,(run-c,20,0,75872,76380
737,(sddm),20,0,3467,3485
740,(Xorg),20,0,18291989,23417815
741,(irq/8,-51,0,1993054,2084634
742,(nvidi,20,0,5967258,5967258
743,(nv_qu,20,0,237307,239544
826,(cupsd,20,0,38358,38582
840,(cups-,20,0,48636,48925
919,(sddm-,20,0,8477,8523
922,(syste,20,0,84383,84960
923,((sd-p,20,0,5970631,5970631
935,(kwall,20,0,183918,185458
936,(start,20,0,10838,10887
949,(dbus-,20,0,390777,395998
969,(baloo,39,0,148568,149754
973,(xdg-d,20,0,58146,58514
980,(xdg-d,20,0,40274,40507
981,(udisk,20,0,144972,146120
985,(xdg-p,20,0,997,999
996,(fuser,20,0,5980378,5980378
1001,(polki,20,0,50306,50614
1002,(rtkit,21,0,1011,1021
1023,(ksmse,20,0,317667,321384
1025,(kded5,20,0,446264,452754
1026,(kwin_,20,0,6006665,6527635
1036,(upowe,20,0,13202,13265
1048,(kglob,20,0,222802,224817
1058,(plasm,20,0,22718617,40732322
1070,(dconf,20,0,1093,1096
1076,(kacti,20,0,250291,252747
1078,(gmenu,20,0,187495,189072
1079,(polki,20,0,201946,203679
1080,(org_k,20,0,388563,393741
1081,(xdg-d,20,0,255879,258429
1082,(xembe,20,0,200927,202644
1146,(pipew,9,0,65878,66301
1149,(pipew,20,0,1180,1187
1164,(color,20,0,13313,13378
1174,(obexd,20,0,1199,1204
1195,(kscre,20,0,193214,194849
1267,(kcloc,20,0,203007,204753
1268,(kdeco,20,0,216069,217986
1288,(agent,20,0,1240,1245
1290,(kacce,20,0,261351,263996
1298,(Disco,20,0,207982,209794
1299,(kalen,20,0,233725,235899
1319,(pulse,9,0,22718623,32271073
1322,(kmix),20,0,13794078,16670945
1376,(accou,20,0,13414,13484
1384,(akona,20,0,291427,294627
1391,(gsett,20,0,1329,1334
1422,(akona,20,0,27483,27638
1428,(mysql,20,0,11211,11271
1467,(akona,20,0,201024,202750
1468,(akona,20,0,218718,220674
1469,(akona,20,0,199979,201687
1470,(akona,20,0,198894,200591
1480,(akona,20,0,208054,209860
1486,(akona,20,0,203121,204873
1492,(akona,39,0,203133,204874
1493,(akona,20,0,208060,209871
1494,(akona,20,0,211707,213564
1500,(akona,20,0,217014,218946
1501,(akona,20,0,222090,224089
1502,(akona,20,0,200067,201779
1503,(akona,20,0,206163,207951
1504,(akona,20,0,215292,217197
1505,(akona,20,0,230745,232873
1506,(akona,20,0,222109,224110
17963,(dhcpc,20,0,37017630,37017630
152094,(code),20,0,532087,540589
212989,(brave,20,0,7050703,7745673
220363,(kwork,20,0,227708,229785
221700,(kwork,20,0,156174,157434
221958,(kwork,20,0,209103,210917
422908,(kwork,20,0,37726253,37726253
429919,(brave,20,0,75021,75524
431207,(cat),20,0,1622,1624
431208,(cat),20,0,1624,1629
431209,(brave,20,0,3484965,3693984
431514,(chrom,20,0,1641,1644
431522,(chrom,20,0,1644,1645
431545,(brave,20,0,6754,6788
431555,(brave,20,0,6764,6793
431601,(brave,20,0,25870,26007
432092,(brave,20,0,517566,525709
