PID,Name,Priority,Arrival Time,Waiting Time,Response Time
1,(syste,20,0,92249,94329
2,(kthre,20,0,46,52
3,(pool_,20,0,2086,2086
4,(kwork,0,0,2086,2086
5,(kwork,0,0,2086,2086
6,(kwork,0,0,2086,2086
7,(kwork,0,0,2086,2086
10,(kwork,0,0,2086,2086
13,(kwork,0,0,2086,2086
14,(rcu_t,20,0,2086,2086
15,(rcu_t,20,0,2086,2086
16,(rcu_t,20,0,2086,2086
17,(ksoft,20,0,259285,270333
18,(rcu_p,-2,0,175501,183723
19,(rcub/,-2,0,21356,21356
20,(migra,-100,0,142,158
21,(idle_,-51,0,21372,21372
22,(cpuhp,20,0,21372,21372
23,(cpuhp,20,0,21372,21372
24,(idle_,-51,0,21372,21372
25,(migra,-100,0,5450,5700
26,(ksoft,20,0,281423,292576
28,(kwork,0,0,32775,32775
29,(cpuhp,20,0,32775,32775
30,(idle_,-51,0,32775,32775
31,(migra,-100,0,5951,6205
32,(ksoft,20,0,270333,281423
34,(kwork,0,0,44119,44119
35,(cpuhp,20,0,44119,44119
36,(idle_,-51,0,44119,44119
37,(migra,-100,0,5700,5951
38,(ksoft,20,0,227887,237497
39,(kwork,20,0,121862,125059
40,(kwork,0,0,57177,57177
41,(cpuhp,20,0,57177,57177
42,(idle_,-51,0,57177,57177
43,(migra,-100,0,6205,6463
44,(ksoft,20,0,248249,259285
46,(kwork,0,0,68471,68471
47,(cpuhp,20,0,68471,68471
48,(idle_,-51,0,68471,68471
49,(migra,-100,0,6721,6981
50,(ksoft,20,0,292576,303801
52,(kwork,0,0,79956,79956
53,(cpuhp,20,0,79956,79956
54,(idle_,-51,0,79956,79956
55,(migra,-100,0,7241,7503
56,(ksoft,20,0,303801,315327
58,(kwork,0,0,91744,91744
59,(cpuhp,20,0,91744,91744
60,(idle_,-51,0,91744,91744
61,(migra,-100,0,8030,8295
62,(ksoft,20,0,363035,375122
64,(kwork,0,0,104096,104096
65,(cpuhp,20,0,104096,104096
66,(idle_,-51,0,104096,104096
67,(migra,-100,0,6981,7241
68,(ksoft,20,0,237497,248249
70,(kwork,0,0,115108,115108
71,(cpuhp,20,0,115108,115108
72,(idle_,-51,0,115108,115108
73,(migra,-100,0,6463,6721
74,(ksoft,20,0,183723,191947
76,(kwork,0,0,123590,123590
77,(cpuhp,20,0,123590,123590
78,(idle_,-51,0,123590,123590
79,(migra,-100,0,7503,7766
80,(ksoft,20,0,327116,339054
82,(kwork,0,0,135791,135791
83,(cpuhp,20,0,135791,135791
84,(idle_,-51,0,135791,135791
85,(migra,-100,0,7766,8030
86,(ksoft,20,0,200449,209034
88,(kwork,0,0,144640,144640
89,(cpuhp,20,0,144640,144640
90,(idle_,-51,0,144640,144640
91,(migra,-100,0,8295,8560
92,(ksoft,20,0,387464,399943
94,(kwork,0,0,157384,157384
95,(cpuhp,20,0,157384,157384
96,(idle_,-51,0,157384,157384
97,(migra,-100,0,8560,8829
98,(ksoft,20,0,375122,387464
100,(kwork,0,0,169995,169995
101,(cpuhp,20,0,169995,169995
